1|24|31|51|57|63|71|80|
2|18|20|25|31|50|63|77|
3|09|21|29|36|43|72|74|
4|15|38|54|66|68|70|71|
5|15|20|23|24|51|54|58|
6|01|08|17|55|59|60|80|
7|15|18|29|37|42|55|77|
8|48|50|61|71|74|75|76|
9|05|24|37|56|58|69|78|
10|01|14|23|37|53|59|74|
11|03|11|12|37|50|71|75|
12|02|13|15|24|39|56|73|
13|06|28|32|37|73|75|79|
14|15|19|32|51|57|60|68|
15|03|09|20|21|25|58|64|
16|05|38|42|52|55|57|59|
17|10|12|20|23|30|50|53|
18|09|15|26|33|54|63|70|
19|26|38|44|49|55|60|75|
20|19|28|37|39|53|64|73|
21|01|15|46|59|65|75|80|
22|04|07|21|52|55|60|78|
23|12|16|17|20|23|60|62|
24|04|59|61|62|72|78|80|
25|04|23|44|47|49|51|75|
26|07|14|22|48|54|70|74|
27|04|08|20|31|48|54|55|
28|15|24|26|55|66|72|78|
29|04|08|25|34|49|52|68|
30|01|09|19|20|33|44|69|
31|01|12|46|52|63|70|74|
32|02|19|23|25|41|45|54|
33|13|29|30|35|62|78|79|
34|28|29|34|48|56|57|60|
35|16|20|25|50|70|75|77|
36|10|20|42|54|58|59|72|
37|06|08|12|19|37|51|55|
38|08|21|30|35|49|69|71|
39|13|28|31|41|52|61|80|
40|09|35|36|45|54|64|76|
41|19|25|37|42|63|75|79|
42|08|19|41|47|50|71|78|
43|10|23|42|52|60|66|73|
44|20|21|27|30|64|66|76|
45|20|26|28|34|55|71|76|
46|08|16|36|57|60|69|75|
47|25|27|29|46|64|73|79|
48|16|20|33|52|59|65|80|
49|12|17|20|27|36|38|69|
50|05|20|23|24|56|72|77|
51|15|27|28|30|43|52|67|
52|01|29|38|42|53|55|71|
53|01|13|16|44|60|66|71|
54|08|18|20|38|40|48|71|
55|14|26|37|43|60|69|77|
56|14|18|44|45|60|61|76|
57|12|23|31|41|56|61|67|
58|04|09|30|32|38|47|71|
59|02|09|27|30|38|61|72|
